,C(=O)C,CC(=O)C,N,CN,C(=O)O,CC(=O)O,C#N,CC#N,C1CC1,CC1CC1,FCF,FC(F)C,C=C,CC=C,C1=CC=C(F)C=C1,CC1=CC=C(F)C=C1,O,CO,C(C)C,CC(C)C,OC,COC,C,CC,[N+](=O)[O-],C[N+](=O)[O-],C1=CC=C([N+](=O)[O-])C=C1,CC1=CC=C([N+](=O)[O-])C=C1,C(F)(F)F,CC(F)(F)F,c1ccc(cc1)O,Cc1ccc(cc1)O,C1=CC=CC=C1,CC1=CC=CC=C1,C1=CNC=C1,C1=C(C)NC=C1,Cc1ccccc1,Cc1ccc(C)cc1
pbf,0.293365326,0.405426799,0.12970799699999996,0.333248515,0.15909481,0.34872665999999997,0.0,0.33166761499999997,0.626067341,0.630499168,0.382526191,0.5345259069999999,9.651e-06,0.22893927000000003,6.777e-06,0.137627219,0.0,0.346980784,0.528856459,0.5670123000000001,0.346987583,0.496800422,0.449635064,0.497100508,0.0,0.291188947,9.115999999999999e-06,0.121374938,0.483710861,0.558950861,0.11814871200000002,0.218313768,6.923e-06,0.137621823,6.0989999999999995e-06,0.158601993,0.13793908300000002,0.22801889899999997
pmi1,9.364472812,47.258624069,1.7248449520000002,5.043381333999999,7.01852079,46.086390132,0.000187121,3.301212485,24.737038524999996,32.654475092,10.460855947,54.41981258300001,3.4921256069999997,11.443127339,86.87949072800001,88.53074970499999,0.584932645,4.048038872,17.840215733,61.533974316,4.046963283,12.837830582999999,3.208918146,6.561256217,4.147210897,42.761990676,125.740538408,128.44122443100002,51.391033538,97.438664064,86.642771623,88.8740142,85.43190239199998,88.533692297,52.746202778000004,58.364516331,88.57899635199999,91.457178609
pmi2,47.796256924,59.73704471600001,1.807552195,21.599586848999998,44.95084,55.857899692000004,11.412437724,54.832637067,25.383985180000003,78.240648189,49.730442227,57.914741171,16.377051061,51.320692754999996,198.180955216,355.305368735,1.318487071,19.801899897,57.08371205500001,65.423913398,19.804779310999997,48.86417697499999,3.2902576600000004,24.698773022,41.340095526,51.862777458,404.12253580099997,631.0251198430001,53.534475568000005,100.215201135,196.351571858,348.738153471,88.818795532,197.912163375,56.005187064,143.40616621599997,197.897134132,346.304409188
pmi3,53.831244979000004,100.35114035100001,2.9343823789999997,22.778769279,50.948936106000005,97.55134178499999,11.412624869,54.923861753000004,39.799322957,88.671880335,56.901194381,100.401358513,19.869176611,59.443798536,285.060445938,440.55518979,1.903419701,20.553264319,65.087904372,108.605443568,20.555360564,55.093358052000006,3.3566805730000007,24.866633038,45.487306403999995,91.30828987099999,529.863074127,756.179683305,96.330233522,102.726759762,281.708363648,433.000241497,174.25069792899998,283.158940162,108.751389844,198.457564296,283.18912026500004,431.18134357200006
npr1,0.17411000000000001,0.47094895,0.5880412390000002,0.221413114,0.137858338,0.472451103,1.6375999999999994e-05,0.060109695000000005,0.621548113,0.368319835,0.183916816,0.54205439,0.175804638,0.192583835,0.30480683599999997,0.200972681,0.30730861,0.196951402,0.27434827999999994,0.5665885860000001,0.19687912899999999,0.23320321100000002,0.956072788,0.263866884,0.09125968000000001,0.468346431,0.23733034700000002,0.169877737,0.5335242920000001,0.948555104,0.30758792400000007,0.205267456,0.490278599,0.31268361400000005,0.48501911,0.294121467,0.312809069,0.212127852
npr2,0.887764136,0.5952679590000001,0.61622284,0.9482337009999999,0.8821963580000001,0.572595525,0.9999836240000001,0.998339199,0.6377910039999999,0.882381344,0.873916127,0.5769070900000001,0.824195367,0.8632791710000001,0.695193164,0.8064747609999999,0.6926913899999999,0.963454652,0.87682599,0.6025060510000001,0.963496103,0.886772666,0.980291969,0.99325546,0.9087403199999999,0.567978921,0.7626696529999999,0.8344689200000001,0.555743801,0.975625504,0.696978562,0.8053841580000001,0.509721401,0.6989246330000001,0.51498089,0.722574288,0.6987981919999999,0.8031337900000001
rg,1.122352969,1.3360372500000002,0.435719368,0.891972571,1.0573555230000002,1.2888005349999998,0.649821689,1.173431913,1.0336369239999998,1.333563765,1.060825174,1.2690075980000002,0.841558753,1.204991028,1.72224854,2.003781789,0.32504751299999995,0.832394035,1.2599415239999998,1.423496699,0.8324305179999999,1.125857986,0.5542256139999999,0.9660534719999999,0.994335416,1.234107152,2.0745842590000003,2.3507241469999998,1.198852122,1.3368314030000001,1.732082292,2.006331394,1.493558379,1.758101978,1.273161564,1.5706428129999999,1.758196061,2.0229346390000003
isf,0.09501609600000001,0.012613627,0.357303647,0.18810395300000002,0.12620248,0.012440689000000001,3281.931786647,0.302470004,0.025785191,0.027028688000000002,0.08362447599999999,0.010605073999999999,0.23616635400000002,0.07551667599999999,0.008005091,0.009111294,1.190810255,0.23817099200000003,0.049267461,0.009796236,0.23824661400000002,0.06926550299999999,0.30551949,0.151405441,0.22025769399999998,0.013295766,0.006066451,0.006497785999999999,0.010815847000000002,0.010013956000000001,0.008046881,0.009063449999999999,0.005967385,0.007896153,0.009765255,0.012383136000000001,0.007890949,0.008782878999999999
eccentricity,0.984673499,0.8820275260000001,0.8085391840000001,0.975161951,0.990407413,0.881236012,1.0,0.9981913499999999,0.783353997,0.929659579,0.982916203,0.840306485,0.984410176,0.981251489,0.952390905,0.9795902169999999,0.95140265,0.980401889,0.9614886460000001,0.8239715679999999,0.9804162780000001,0.97232023,0.290144952,0.96455229,0.9958004989999999,0.883448406,0.971420793,0.985460499,0.845755932,0.31550303100000004,0.951500226,0.978700557,0.871553521,0.9498435089999999,0.8744877270000001,0.9557530430000001,0.949801064,0.977235587
asphericity,0.566685316,0.21560405,0.131516233,0.48330654200000006,0.642942267,0.22574217200000002,0.999950873,0.832470826,0.107669877,0.26746858500000004,0.5470421209999999,0.17384145999999998,0.565393049,0.530343549,0.364421865,0.5174411569999999,0.362461586,0.528730534,0.39162383999999995,0.14771757700000002,0.528869285,0.457958794,0.000769609,0.421631933,0.7513637270000001,0.231512965,0.457031254,0.576610087,0.19044222400000002,0.0010231849999999998,0.359896518,0.509398685,0.250332171,0.35208804299999996,0.25073682199999997,0.373220913,0.35195035,0.496817329
spherocity,0.365379505,0.332215914,0.09032437099999999,0.42391262900000004,0.07857666399999999,0.27849566,0.0,0.425482442,0.756151568,0.5871295639999999,0.784094833,0.6181386160000001,1e-08,0.20232432400000003,0.0,0.060740595999999994,0.0,0.56067088,0.478759506,0.45356604,0.5609322159999999,0.40656426999999995,0.956478945,0.616880682,0.0,0.344671788,0.0,0.042967138999999994,0.7972594879999999,0.6817559479999998,0.022317451,0.06660733099999999,0.0,0.06225122,0.0,0.085477056,0.062231918,0.079405142
